term,meaning,millennialTranslation,example,category
Ate,Used to say that someone did something exceptionally well.,You killed it / Nailed it.,She absolutely ate that performance, no crumbs left.,Achievement
Aura,"The specific atmosphere or energy that surrounds a person, often related to their coolness or presence.",Presence / Vibe / Coolness factor.,He accidentally tripped in front of his crush, -1000 aura.,Energy
Bae,Before Anyone Else. Usually refers to a significant other or crush.,Baby / Sweetheart / Boo.,I'm going to the movies with bae tonight.,Relationship
Based,Being yourself and not caring what others think. Often used to agree with a controversial opinion.,Respectable / Authentic / Low-key right.,That's a based take on the housing market.,Social
Bet,An expression of agreement or confirmation.,Okay / Word / You got it.,"Wanna grab drinks later?" "Bet.",Agreement
Big Yikes,Used to describe something that is extremely embarrassing or cringey.,That's awkward / Major cringe.,He sent that to the whole group chat? Big yikes.,Cringe
Bop,A really good song that makes you want to dance.,A jam / Catchy tune.,The new single is a straight bop.,Entertainment
Bussin’,Used to describe food that is exceptionally good.,Delicious / Bomb / Tasty.,This homemade pasta is straight bussin!,Food
Cap,A lie or exaggeration.,BS / A lie / No way.,"He said he met the CEO, but that's major cap.",Assertion
Cheugy,Trying too hard to be trendy; out of touch (often aimed at Millennials).,Lame / Basic / Trying too hard.,Disney adults are often called cheugy.,Criticism
Clapback,A quick, witty, or insulting response to a critique.,Comeback / Retort.,Her clapback to the hater went viral.,Social
Delulu,Short for delusional. Usually refers to someone having unrealistic expectations about a relationship.,Living in a fantasy world / Wishful thinking.,"She thinks they're getting back together, she's completely delulu.",Mental
Drip,A person's style or outfit, specifically when it is cool or expensive.,Swag / Looking sharp / Great style.,"Look at the drip on him today, those shoes are fire.",Fashion
Extra,Being over-the-top, excessive, or dramatic.,Too much / Dramatic / Attention-seeking.,"She brought three suitcases for a weekend trip, she's so extra.",Social
Facts,Used to agree with something that is true.,True / Truth / I agree.,"Monday mornings are the worst." "Facts.",Agreement
Fam,Short for family. Used for close friends and people you trust.,Inner circle / My people / Friends.,"What's up, fam? Glad you could make it.",Social
Finna,Short for "fixing to". Describes an intention to do something.,I'm going to / About to.,I'm finna head out in ten minutes.,Action
Ghosting,Cutting off communication without any explanation.,Disappearing act / Blowing someone off.,We went on three dates and then he just started ghosting me.,Relationship
Glow Up,A significant positive transformation in appearance or style.,Makeover / Improving your look.,He had a major glow up over the summer.,Physical
G.O.A.T,Greatest Of All Time.,The best / Legend.,Serena Williams is the G.O.A.T.,Legend
Gucci,Used to describe something that is good, cool, or going well.,Cool / Good / All set.,"Don't worry about it, we're gucci.",Social
High-key,The opposite of low-key. Used to express something openly or intensely.,Very much / Openly / Totally.,I high-key want pizza for dinner tonight.,Assertion
Hits Different,When something is uniquely better or more impactful than usual.,In a class of its own / Next level.,Iced coffee just hits different on a Friday afternoon.,Experience
Ick,A sudden feeling of disgust or repulsion toward someone you were interested in.,Turn-off / Grossed out.,He chewed with his mouth open and I immediately got the ick.,Relationship
IYKYK,If You Know, You Know. Refers to inside jokes or niche knowledge.,Inside joke / Niche reference.,Best night ever. #iykyk,Social
L,Shorthand for "Loss". Used when someone fails or something bad happens.,Epic Fail / Bummer / That sucks.,I lost my keys again. Massive L.,Failure
Lit,Something that is exciting, amazing, or high-energy.,Awesome / Poppin' / Fun.,That party last night was absolutely lit.,Social
Low-key,"Secretly, modestly, or slightly.",Secretly / Kind of / On the down low.,I'm low-key obsessed with that new show.,Assertion
Main Character,Behaving like the protagonist of a movie; seeking attention.,Star of the show / Drama queen.,She has major main character energy in that dress.,Social
Mid,"Something that is average, mediocre, or unimpressive.",Meh / Average / So-so.,The new movie was honestly kind of mid.,Evaluation
NGL,Not Gonna Lie. Used to Preface an honest or often blunt statement.,To be honest / Truthfully.,"NGL, I didn't really like the food.",Assertion
No Cap,Emphasizing that one is telling the truth.,For real / Seriously / No lie.,I finished the whole pizza by myself, no cap.,Assertion
NPC,Non-Player Character. Someone who doesn't think for themselves or acts predictably.,Sheep / Basic / Mindless.,He just agrees with everything everyone says, total NPC.,Critique
Periodt,Used at the end of a sentence to add extreme emphasis.,And that is that / End of story / Period.,"She is the best singer of our generation, periodt.",Assertion
Rent Free,"Being unable to stop thinking about something, usually something negative.",Obsessed / Can't stop thinking about it.,That argument I had in 2015 lives in my head rent free.,Mental
Rizz,"Charisma, specifically in the context of attracting a romantic partner.",Having game / Charm / Swag.,He's got unspoken rizz.,Social
Sending Me,Used to describe when something is hilarious or highly amusing.,Cracking me up / Hilarious / Dying of laughter.,That meme you shared is absolutely sending me.,Humor
Slay,To do something exceptionally well or look amazing.,Killing it / Nailed it.,You absolutely slayed that outfit!,Achievement
Snatched,"When someone looks very good, particularly their outfit or appearance.",On point / Looking great.,Your waist looks snatched in those jeans.,Fashion
Stan,An obsessive or very dedicated fan of a celebrity.,Super-fan / Obsessed.,I stan Rihanna so hard.,Fandom
Sus,Short for suspicious. Used when something seems shady.,Sketchy / Shady / Fishy.,The way he left the room was kind of sus.,Social
Tea,Gossip or juicy personal information.,The 411 / Gossip / Drama.,What's the tea? Tell me everything.,Social
Understood the Assignment,When someone executes something perfectly or knows exactly what was expected.,Did a great job / Nailed the brief.,"She wore the perfect outfit for themed night, she really understood the assignment.",Achievement
Valid,Something that is understandable or acceptable.,Legit / Fair enough / Approved.,That's a valid reason to stay home.,Social
Vibe Check,"Assessing someone's mood, attitude, or general energy.",Checking the mood / How are you feeling?,He definitely failed the vibe check with that comment.,Social
W,Shorthand for "Win". Expresses success or approval.,Epic Win / Success / Awesome.,Found $20 in my old coat! Huge W.,Achievement
Yeet,To throw something with force or an exclamation of excitement.,Toss it / YOLO / Boom.,I just yeeted my old phone into the bin.,Action
Zaddy,"An attractive, stylish older man with charisma.",Silver fox / Attractive man.,Jeff Goldblum is the ultimate zaddy.,Physical
